type,year,code,name,value
revenue,2010,01,"Legislative und Exekutive",183.64490000000001
revenue,2011,01,"Legislative und Exekutive",134.73405
revenue,2012,01,"Legislative und Exekutive",125.62998
revenue,2013,01,"Legislative und Exekutive",123.32204
revenue,1990,02,"Allgemeine Dienste",44418.848339999997
revenue,1991,02,"Allgemeine Dienste",56052.86305
revenue,1992,02,"Allgemeine Dienste",60839.602299999999
revenue,1993,02,"Allgemeine Dienste",74532.335760000002
revenue,1994,02,"Allgemeine Dienste",43551.270989999997
revenue,1995,02,"Allgemeine Dienste",63722.163630000003
revenue,1996,02,"Allgemeine Dienste",75684.347410000002
revenue,1997,02,"Allgemeine Dienste",75825.673630000005
revenue,1998,02,"Allgemeine Dienste",105526.02108000001
revenue,1999,02,"Allgemeine Dienste",117275.22701
revenue,2000,02,"Allgemeine Dienste",113130.52185999999
revenue,2001,02,"Allgemeine Dienste",125507.53320000001
revenue,2002,02,"Allgemeine Dienste",143896.04146000001
revenue,2003,02,"Allgemeine Dienste",131473.60892
revenue,2004,02,"Allgemeine Dienste",114188.11571
revenue,2005,02,"Allgemeine Dienste",143462.83111
revenue,2006,02,"Allgemeine Dienste",139213.02896
revenue,2007,02,"Allgemeine Dienste",150752.89384
revenue,2008,02,"Allgemeine Dienste",164309.84612999999
revenue,2009,02,"Allgemeine Dienste",125156.64271
revenue,2010,02,"Allgemeine Dienste",135263.46570999999
revenue,2011,02,"Allgemeine Dienste",91904.261169999998
revenue,2012,02,"Allgemeine Dienste",279122.95604999998
revenue,2013,02,"Allgemeine Dienste",132207.13677000001
revenue,1990,1,"Öffentliche Ordnung und Sicherheit, Verteidigung",181078.29642999999
revenue,1991,1,"Öffentliche Ordnung und Sicherheit, Verteidigung",198938.82853999999
revenue,1992,1,"Öffentliche Ordnung und Sicherheit, Verteidigung",192849.43416999999
revenue,1993,1,"Öffentliche Ordnung und Sicherheit, Verteidigung",207949.12942000001
revenue,1994,1,"Öffentliche Ordnung und Sicherheit, Verteidigung",234815.08890999999
revenue,1995,1,"Öffentliche Ordnung und Sicherheit, Verteidigung",228563.98838
revenue,1996,1,"Öffentliche Ordnung und Sicherheit, Verteidigung",235874.77338
revenue,1997,1,"Öffentliche Ordnung und Sicherheit, Verteidigung",232557.18721
revenue,1998,1,"Öffentliche Ordnung und Sicherheit, Verteidigung",248594.74116999999
revenue,1999,1,"Öffentliche Ordnung und Sicherheit, Verteidigung",254915.51634999999
revenue,2000,1,"Öffentliche Ordnung und Sicherheit, Verteidigung",265583.83649999998
revenue,2001,1,"Öffentliche Ordnung und Sicherheit, Verteidigung",271639.41120999999
revenue,2002,1,"Öffentliche Ordnung und Sicherheit, Verteidigung",270759.93903000001
revenue,2003,1,"Öffentliche Ordnung und Sicherheit, Verteidigung",277984.42463000002
revenue,2004,1,"Öffentliche Ordnung und Sicherheit, Verteidigung",278647.38046999997
revenue,2005,1,"Öffentliche Ordnung und Sicherheit, Verteidigung",290520.70984999998
revenue,2006,1,"Öffentliche Ordnung und Sicherheit, Verteidigung",291273.30314999999
revenue,2007,1,"Öffentliche Ordnung und Sicherheit, Verteidigung",309772.82128999999
revenue,2008,1,"Öffentliche Ordnung und Sicherheit, Verteidigung",375698.03331999999
revenue,2009,1,"Öffentliche Ordnung und Sicherheit, Verteidigung",399686.05194999999
revenue,2010,1,"Öffentliche Ordnung und Sicherheit, Verteidigung",409259.99135999999
revenue,2011,1,"Öffentliche Ordnung und Sicherheit, Verteidigung",426837.45541
revenue,2012,1,"Öffentliche Ordnung und Sicherheit, Verteidigung",432827.79719000001
revenue,2013,1,"Öffentliche Ordnung und Sicherheit, Verteidigung",467487.23982000002
revenue,1990,11,"Öffentliche Sicherheit",55935.3177
revenue,1991,11,"Öffentliche Sicherheit",56793.561079999999
revenue,1992,11,"Öffentliche Sicherheit",59739.852019999998
revenue,1993,11,"Öffentliche Sicherheit",61019.258990000002
revenue,1994,11,"Öffentliche Sicherheit",65075.95607
revenue,1995,11,"Öffentliche Sicherheit",52850.603719999999
revenue,1996,11,"Öffentliche Sicherheit",55918.478750000002
revenue,1997,11,"Öffentliche Sicherheit",60728.53469
revenue,1998,11,"Öffentliche Sicherheit",60875.584990000003
revenue,1999,11,"Öffentliche Sicherheit",63046.530200000001
revenue,2000,11,"Öffentliche Sicherheit",63421.767350000002
revenue,2001,11,"Öffentliche Sicherheit",67135.407269999996
revenue,2002,11,"Öffentliche Sicherheit",66924.093129999994
revenue,2003,11,"Öffentliche Sicherheit",79875.734890000007
revenue,2004,11,"Öffentliche Sicherheit",79194.723270000002
revenue,2005,11,"Öffentliche Sicherheit",85239.277480000004
revenue,2006,11,"Öffentliche Sicherheit",90742.437430000005
revenue,2007,11,"Öffentliche Sicherheit",93650.603099999993
revenue,2008,11,"Öffentliche Sicherheit",157689.85068999999
revenue,2009,11,"Öffentliche Sicherheit",180337.13527
revenue,2010,11,"Öffentliche Sicherheit",178425.0649
revenue,2011,11,"Öffentliche Sicherheit",174233.04848
revenue,2012,11,"Öffentliche Sicherheit",173486.6416
revenue,2013,11,"Öffentliche Sicherheit",186749.22464999999
revenue,1990,12,"Rechtssprechung",28462.408909999998
revenue,1991,12,"Rechtssprechung",35880.048089999997
revenue,1992,12,"Rechtssprechung",40038.897920000003
revenue,1993,12,"Rechtssprechung",41916.09044
revenue,1994,12,"Rechtssprechung",47493.035909999999
revenue,1995,12,"Rechtssprechung",47933.338649999998
revenue,1996,12,"Rechtssprechung",52256.13652
revenue,1997,12,"Rechtssprechung",40830.072249999997
revenue,1998,12,"Rechtssprechung",48970.35701
revenue,1999,12,"Rechtssprechung",48954.810409999998
revenue,2000,12,"Rechtssprechung",47922.780579999999
revenue,2001,12,"Rechtssprechung",51540.883650000003
revenue,2002,12,"Rechtssprechung",57431.797429999999
revenue,2003,12,"Rechtssprechung",53327.492590000002
revenue,2004,12,"Rechtssprechung",56155.200380000002
revenue,2005,12,"Rechtssprechung",61204.174769999998
revenue,2006,12,"Rechtssprechung",61967.893559999997
revenue,2007,12,"Rechtssprechung",76435.242989999999
revenue,2008,12,"Rechtssprechung",84675.916490000003
revenue,2009,12,"Rechtssprechung",84976.872589999999
revenue,2010,12,"Rechtssprechung",86649.507440000001
revenue,2011,12,"Rechtssprechung",89265.435979999995
revenue,2012,12,"Rechtssprechung",94926.61537
revenue,2013,12,"Rechtssprechung",96801.834050000005
revenue,1990,13,"Strafvollzug",25577.948
revenue,1991,13,"Strafvollzug",24239.156950000001
revenue,1992,13,"Strafvollzug",22127.943899999998
revenue,1993,13,"Strafvollzug",24281.286390000001
revenue,1994,13,"Strafvollzug",26734.693500000001
revenue,1995,13,"Strafvollzug",29568.2323
revenue,1996,13,"Strafvollzug",33685.122100000001
revenue,1997,13,"Strafvollzug",29897.717799999999
revenue,1998,13,"Strafvollzug",34067.619599999998
revenue,1999,13,"Strafvollzug",36344.721850000002
revenue,2000,13,"Strafvollzug",32472.62903
revenue,2001,13,"Strafvollzug",37597.375800000002
revenue,2002,13,"Strafvollzug",40035.01268
revenue,2003,13,"Strafvollzug",40344.669249999999
revenue,2004,13,"Strafvollzug",39590.303379999998
revenue,2005,13,"Strafvollzug",43449.760179999997
revenue,2006,13,"Strafvollzug",43184.304250000001
revenue,2007,13,"Strafvollzug",40437.958489999997
revenue,2008,13,"Strafvollzug",43159.941489999997
revenue,2009,13,"Strafvollzug",46731.852149999999
revenue,2010,13,"Strafvollzug",51194.342750000003
revenue,2011,13,"Strafvollzug",59143.097029999997
revenue,2012,13,"Strafvollzug",62002.874300000003
revenue,2013,13,"Strafvollzug",66159.307620000007
revenue,1990,14,"Allgemeines Rechtswesen",22526.550569999999
revenue,1991,14,"Allgemeines Rechtswesen",26081.324670000002
revenue,1992,14,"Allgemeines Rechtswesen",29541.073079999998
revenue,1993,14,"Allgemeines Rechtswesen",41336.046799999996
revenue,1994,14,"Allgemeines Rechtswesen",58673.642079999998
revenue,1995,14,"Allgemeines Rechtswesen",67397.357510000002
revenue,1996,14,"Allgemeines Rechtswesen",64636.330900000001
revenue,1997,14,"Allgemeines Rechtswesen",75303.754799999995
revenue,1998,14,"Allgemeines Rechtswesen",85933.027170000001
revenue,1999,14,"Allgemeines Rechtswesen",87178.269090000002
revenue,2000,14,"Allgemeines Rechtswesen",99406.843599999993
revenue,2001,14,"Allgemeines Rechtswesen",92411.934340000007
revenue,2002,14,"Allgemeines Rechtswesen",97954.397670000006
revenue,2003,14,"Allgemeines Rechtswesen",92035.747879999995
revenue,2004,14,"Allgemeines Rechtswesen",91236.027149999994
revenue,2005,14,"Allgemeines Rechtswesen",93424.583889999994
revenue,2006,14,"Allgemeines Rechtswesen",88888.172909999994
revenue,2007,14,"Allgemeines Rechtswesen",87366.694740000006
revenue,2008,14,"Allgemeines Rechtswesen",80703.322090000001
revenue,2009,14,"Allgemeines Rechtswesen",77985.709990000003
revenue,2010,14,"Allgemeines Rechtswesen",82783.702380000002
revenue,2011,14,"Allgemeines Rechtswesen",93944.038249999998
revenue,2012,14,"Allgemeines Rechtswesen",89620.711450000003
revenue,2013,14,"Allgemeines Rechtswesen",100969.89185
revenue,1995,15,"Feuerwehr",150
revenue,1990,16,"Verteidigung",48576.071250000001
revenue,1991,16,"Verteidigung",55944.73775
revenue,1992,16,"Verteidigung",41401.667249999999
revenue,1993,16,"Verteidigung",39396.446799999998
revenue,1994,16,"Verteidigung",36837.761350000001
revenue,1995,16,"Verteidigung",30664.456200000001
revenue,1996,16,"Verteidigung",29378.705109999999
revenue,1997,16,"Verteidigung",25797.107670000001
revenue,1998,16,"Verteidigung",18748.152399999999
revenue,1999,16,"Verteidigung",19391.184799999999
revenue,2000,16,"Verteidigung",22359.81594
revenue,2001,16,"Verteidigung",22953.810150000001
revenue,2002,16,"Verteidigung",8414.6381199999996
revenue,2003,16,"Verteidigung",12400.78002
revenue,2004,16,"Verteidigung",12471.12629
revenue,2005,16,"Verteidigung",7202.9135299999998
revenue,2006,16,"Verteidigung",6490.4949999999999
revenue,2007,16,"Verteidigung",11882.321970000001
revenue,2008,16,"Verteidigung",9469.0025600000008
revenue,2009,16,"Verteidigung",9654.4819499999994
revenue,2010,16,"Verteidigung",10207.373890000001
revenue,2011,16,"Verteidigung",10251.83567
revenue,2012,16,"Verteidigung",12790.954470000001
revenue,2013,16,"Verteidigung",16806.981650000002
revenue,1990,2,"Bildung",702326.85978000006
revenue,1991,2,"Bildung",796401.14812999999
revenue,1992,2,"Bildung",949568.92388000002
revenue,1993,2,"Bildung",957079.00413999998
revenue,1994,2,"Bildung",964941.24456000002
revenue,1995,2,"Bildung",1024672.48788
revenue,1996,2,"Bildung",1114101.14845
revenue,1997,2,"Bildung",1126785.2166599999
revenue,1998,2,"Bildung",940080.22131000005
revenue,1999,2,"Bildung",1020002.73536
revenue,2000,2,"Bildung",1063451.4523100001
revenue,2001,2,"Bildung",1141646.9944800001
revenue,2002,2,"Bildung",684440.17752999999
revenue,2003,2,"Bildung",778290.19351000001
revenue,2004,2,"Bildung",771493.80715000001
revenue,2005,2,"Bildung",784626.99872000003
revenue,2006,2,"Bildung",812311.65401000006
revenue,2007,2,"Bildung",868104.80741999997
revenue,2008,2,"Bildung",1060437.5682600001
revenue,2009,2,"Bildung",1082533.96056
revenue,2010,2,"Bildung",1149532.49288
revenue,2011,2,"Bildung",1197070.8188799999
revenue,2012,2,"Bildung",1260134.49297
revenue,2013,2,"Bildung",1233866.0506500001
revenue,1990,21,"Obligatorische Schule",433068.57228999998
revenue,1991,21,"Obligatorische Schule",488401.03326
revenue,1992,21,"Obligatorische Schule",532108.54336999997
revenue,1993,21,"Obligatorische Schule",505921.19043000002
revenue,1994,21,"Obligatorische Schule",522900.82815999998
revenue,1995,21,"Obligatorische Schule",600628.88155000005
revenue,1996,21,"Obligatorische Schule",653405.77089000004
revenue,1997,21,"Obligatorische Schule",682084.73062000005
revenue,1998,21,"Obligatorische Schule",637410.30203000002
revenue,1999,21,"Obligatorische Schule",666017.55108999996
revenue,2000,21,"Obligatorische Schule",696714.10805000004
revenue,2001,21,"Obligatorische Schule",655598.64554000006
revenue,2002,21,"Obligatorische Schule",289037.19396
revenue,2003,21,"Obligatorische Schule",321805.72279999999
revenue,2004,21,"Obligatorische Schule",305736.75105999998
revenue,2005,21,"Obligatorische Schule",328917.20504999999
revenue,2006,21,"Obligatorische Schule",314113.45264999999
revenue,2007,21,"Obligatorische Schule",331887.27691000002
revenue,2008,21,"Obligatorische Schule",343407.68099999998
revenue,2009,21,"Obligatorische Schule",345436.08487999998
revenue,2010,21,"Obligatorische Schule",341925.88355999999
revenue,2011,21,"Obligatorische Schule",349740.48073000001
revenue,2012,21,"Obligatorische Schule",349684.13175
revenue,2013,21,"Obligatorische Schule",344832.36239999998
revenue,1990,22,"Sonderschulen",3426.1352000000002
revenue,1991,22,"Sonderschulen",3930.9643000000001
revenue,1992,22,"Sonderschulen",5033.1034499999996
revenue,1993,22,"Sonderschulen",5570.2224999999999
revenue,1994,22,"Sonderschulen",5691.8190500000001
revenue,1995,22,"Sonderschulen",5237.0614999999998
revenue,1996,22,"Sonderschulen",5501.6649500000003
revenue,1997,22,"Sonderschulen",4815.2723999999998
revenue,1998,22,"Sonderschulen",4660.41
revenue,1999,22,"Sonderschulen",4612.1430499999997
revenue,2000,22,"Sonderschulen",5499.9850500000002
revenue,2001,22,"Sonderschulen",6797.3258999999998
revenue,2002,22,"Sonderschulen",5722.6466499999997
revenue,2003,22,"Sonderschulen",6167.8632500000003
revenue,2004,22,"Sonderschulen",6396.3687
revenue,2005,22,"Sonderschulen",6078.9943199999998
revenue,2006,22,"Sonderschulen",6332.5421999999999
revenue,2007,22,"Sonderschulen",6523.3026499999996
revenue,2008,22,"Sonderschulen",5371.0825000000004
revenue,2009,22,"Sonderschulen",2005.0274999999999
revenue,2010,22,"Sonderschulen",2326.0506999999998
revenue,2011,22,"Sonderschulen",2275.7487500000002
revenue,2012,22,"Sonderschulen",8832.9186499999996
revenue,2013,22,"Sonderschulen",9222.2035500000002
revenue,1990,23,"Berufliche Grundbildung",92423.318400000004
revenue,1991,23,"Berufliche Grundbildung",109054.10249999999
revenue,1992,23,"Berufliche Grundbildung",115736.24662999999
revenue,1993,23,"Berufliche Grundbildung",109609.49438
revenue,1994,23,"Berufliche Grundbildung",114721.34857
revenue,1995,23,"Berufliche Grundbildung",113035.41792000001
revenue,1996,23,"Berufliche Grundbildung",112059.74993999999
revenue,1997,23,"Berufliche Grundbildung",90481.24914
revenue,1998,23,"Berufliche Grundbildung",86052.777900000001
revenue,1999,23,"Berufliche Grundbildung",122732.03707000001
revenue,2000,23,"Berufliche Grundbildung",129931.39893
revenue,2001,23,"Berufliche Grundbildung",210241.69159999999
revenue,2002,23,"Berufliche Grundbildung",128767.89761
revenue,2003,23,"Berufliche Grundbildung",168642.7193
revenue,2004,23,"Berufliche Grundbildung",160350.31294
revenue,2005,23,"Berufliche Grundbildung",154095.79785999999
revenue,2006,23,"Berufliche Grundbildung",160884.18658000001
revenue,2007,23,"Berufliche Grundbildung",177123.84463000001
revenue,2008,23,"Berufliche Grundbildung",129423.40359
revenue,2009,23,"Berufliche Grundbildung",129646.27816
revenue,2010,23,"Berufliche Grundbildung",146398.84792999999
revenue,2011,23,"Berufliche Grundbildung",177783.54558000001
revenue,2012,23,"Berufliche Grundbildung",167748.16495000001
revenue,2013,23,"Berufliche Grundbildung",164857.71754000001
revenue,1990,25,"Allgemeinbildende Schulen",16540.205999999998
revenue,1991,25,"Allgemeinbildende Schulen",25077.796149999998
revenue,1992,25,"Allgemeinbildende Schulen",33769.940499999997
revenue,1993,25,"Allgemeinbildende Schulen",37781.3655
revenue,1994,25,"Allgemeinbildende Schulen",9268.8878999999997
revenue,1995,25,"Allgemeinbildende Schulen",8406.7275499999996
revenue,1996,25,"Allgemeinbildende Schulen",5381.317
revenue,1997,25,"Allgemeinbildende Schulen",3838.087
revenue,1998,25,"Allgemeinbildende Schulen",10903.444949999999
revenue,1999,25,"Allgemeinbildende Schulen",11046.16835
revenue,2000,25,"Allgemeinbildende Schulen",13139.09425
revenue,2001,25,"Allgemeinbildende Schulen",12605.5777
revenue,2002,25,"Allgemeinbildende Schulen",12764.14465
revenue,2003,25,"Allgemeinbildende Schulen",15234.097250000001
revenue,2004,25,"Allgemeinbildende Schulen",15658.004209999999
revenue,2005,25,"Allgemeinbildende Schulen",18580.410970000001
revenue,2006,25,"Allgemeinbildende Schulen",13842.749100000001
revenue,2007,25,"Allgemeinbildende Schulen",16116.21502
revenue,2008,25,"Allgemeinbildende Schulen",11144.027050000001
revenue,2009,25,"Allgemeinbildende Schulen",11088.65907
revenue,2010,25,"Allgemeinbildende Schulen",11471.58454
revenue,2011,25,"Allgemeinbildende Schulen",10929.07005
revenue,2012,25,"Allgemeinbildende Schulen",10756.179889999999
revenue,2013,25,"Allgemeinbildende Schulen",9507.8350499999997
revenue,1990,26,"Höhere Berufsbildung",25583.147700000001
revenue,1991,26,"Höhere Berufsbildung",36780.939149999998
revenue,1992,26,"Höhere Berufsbildung",28541.73835
revenue,1993,26,"Höhere Berufsbildung",49843.85643
revenue,1994,26,"Höhere Berufsbildung",39050.726849999999
revenue,1995,26,"Höhere Berufsbildung",36393.648540000002
revenue,1996,26,"Höhere Berufsbildung",41566.997060000002
revenue,1997,26,"Höhere Berufsbildung",36384.922740000002
revenue,1998,26,"Höhere Berufsbildung",28980.748240000001
revenue,1999,26,"Höhere Berufsbildung",43666.534079999998
revenue,2000,26,"Höhere Berufsbildung",1871.6112000000001
revenue,2001,26,"Höhere Berufsbildung",1900.9212
revenue,2002,26,"Höhere Berufsbildung",1515.8923
revenue,2003,26,"Höhere Berufsbildung",980.98860000000002
revenue,2004,26,"Höhere Berufsbildung",823.79300000000001
revenue,2005,26,"Höhere Berufsbildung",839.42700000000002
revenue,2006,26,"Höhere Berufsbildung",730.12099999999998
revenue,2007,26,"Höhere Berufsbildung",1286.4259999999999
revenue,2008,26,"Höhere Berufsbildung",175.876
revenue,2009,26,"Höhere Berufsbildung",134.874
revenue,2010,26,"Höhere Berufsbildung",471.9
revenue,2011,26,"Höhere Berufsbildung",456.45
revenue,2012,26,"Höhere Berufsbildung",462
revenue,2013,26,"Höhere Berufsbildung",496.447
revenue,1990,27,"Hochschulen",125384.66044000001
revenue,1991,27,"Hochschulen",129310.19042
revenue,1992,27,"Hochschulen",231857.61848
revenue,1993,27,"Hochschulen",244972.65205
revenue,1994,27,"Hochschulen",261596.16292999999
revenue,1995,27,"Hochschulen",250971.44967
revenue,1996,27,"Hochschulen",278393.41151000001
revenue,1997,27,"Hochschulen",286727.29486000002
revenue,1998,27,"Hochschulen",149551.89459000001
revenue,1999,27,"Hochschulen",158561.78276999999
revenue,2000,27,"Hochschulen",208244.99746000001
revenue,2001,27,"Hochschulen",241992.35516000001
revenue,2002,27,"Hochschulen",234436.80922
revenue,2003,27,"Hochschulen",249933.51149
revenue,2004,27,"Hochschulen",274215.65911000001
revenue,2005,27,"Hochschulen",273185.21711999999
revenue,2006,27,"Hochschulen",312636.46638
revenue,2007,27,"Hochschulen",330823.48871000001
revenue,2008,27,"Hochschulen",343405.59898000001
revenue,2009,27,"Hochschulen",357499.40370999998
revenue,2010,27,"Hochschulen",372670.99841
revenue,2011,27,"Hochschulen",377547.67051000003
revenue,2012,27,"Hochschulen",424080.29901999998
revenue,2013,27,"Hochschulen",415591.31913000002
revenue,2008,28,"Forschung",222863.80300000001
revenue,2009,28,"Forschung",228002.80300000001
revenue,2010,28,"Forschung",267703.50099999999
revenue,2011,28,"Forschung",272036.61800000002
revenue,2012,28,"Forschung",292476.74300000002
revenue,2013,28,"Forschung",283787.77500000002
revenue,1990,29,"Übriges Bildungswesen",5900.8197499999997
revenue,1991,29,"Übriges Bildungswesen",3846.1223500000001
revenue,1992,29,"Übriges Bildungswesen",2521.7330999999999
revenue,1993,29,"Übriges Bildungswesen",3380.2228500000001
revenue,1994,29,"Übriges Bildungswesen",11711.471100000001
revenue,1995,29,"Übriges Bildungswesen",9999.3011499999993
revenue,1996,29,"Übriges Bildungswesen",17792.237099999998
revenue,1997,29,"Übriges Bildungswesen",22453.659899999999
revenue,1998,29,"Übriges Bildungswesen",22520.643599999999
revenue,1999,29,"Übriges Bildungswesen",13366.51895
revenue,2000,29,"Übriges Bildungswesen",8050.2573700000003
revenue,2001,29,"Übriges Bildungswesen",12510.47738
revenue,2002,29,"Übriges Bildungswesen",12195.593140000001
revenue,2003,29,"Übriges Bildungswesen",15525.29082
revenue,2004,29,"Übriges Bildungswesen",8312.91813
revenue,2005,29,"Übriges Bildungswesen",2929.9463999999998
revenue,2006,29,"Übriges Bildungswesen",3772.1361000000002
revenue,2007,29,"Übriges Bildungswesen",4344.2534999999998
revenue,2008,29,"Übriges Bildungswesen",4646.0961399999997
revenue,2009,29,"Übriges Bildungswesen",8720.8302399999993
revenue,2010,29,"Übriges Bildungswesen",6563.7267400000001
revenue,2011,29,"Übriges Bildungswesen",6301.2352600000004
revenue,2012,29,"Übriges Bildungswesen",6094.0557099999996
revenue,2013,29,"Übriges Bildungswesen",5570.3909800000001
revenue,1990,3,"Kultur, Sport und Freizeit, Kirche",7009.8305499999997
revenue,1991,3,"Kultur, Sport und Freizeit, Kirche",7587.0483000000004
revenue,1992,3,"Kultur, Sport und Freizeit, Kirche",6395.5576000000001
revenue,1993,3,"Kultur, Sport und Freizeit, Kirche",10092.69838
revenue,1994,3,"Kultur, Sport und Freizeit, Kirche",1986.6957
revenue,1995,3,"Kultur, Sport und Freizeit, Kirche",7584.5698000000002
revenue,1996,3,"Kultur, Sport und Freizeit, Kirche",7434.9379499999995
revenue,1997,3,"Kultur, Sport und Freizeit, Kirche",8105.9454999999998
revenue,1998,3,"Kultur, Sport und Freizeit, Kirche",9631.4648500000003
revenue,1999,3,"Kultur, Sport und Freizeit, Kirche",10079.715700000001
revenue,2000,3,"Kultur, Sport und Freizeit, Kirche",9838.8827999999994
revenue,2001,3,"Kultur, Sport und Freizeit, Kirche",9592.4694
revenue,2002,3,"Kultur, Sport und Freizeit, Kirche",9968.8937000000005
revenue,2003,3,"Kultur, Sport und Freizeit, Kirche",8794.1065099999996
revenue,2004,3,"Kultur, Sport und Freizeit, Kirche",10150.632879999999
revenue,2005,3,"Kultur, Sport und Freizeit, Kirche",9606.3573500000002
revenue,2006,3,"Kultur, Sport und Freizeit, Kirche",10921.880660000001
revenue,2007,3,"Kultur, Sport und Freizeit, Kirche",15096.283390000001
revenue,2008,3,"Kultur, Sport und Freizeit, Kirche",15054.1309
revenue,2009,3,"Kultur, Sport und Freizeit, Kirche",15799.51923
revenue,2010,3,"Kultur, Sport und Freizeit, Kirche",16447.546200000001
revenue,2011,3,"Kultur, Sport und Freizeit, Kirche",41050.644749999999
revenue,2012,3,"Kultur, Sport und Freizeit, Kirche",23197.128049999999
revenue,2013,3,"Kultur, Sport und Freizeit, Kirche",22413.56077
revenue,1990,31,"Kulturerbe",172.60585
revenue,1991,31,"Kulturerbe",259.41609999999997
revenue,1992,31,"Kulturerbe",220.447
revenue,1993,31,"Kulturerbe",64.278000000000006
revenue,1994,31,"Kulturerbe",54.033999999999999
revenue,1995,31,"Kulturerbe",152.30699999999999
revenue,1996,31,"Kulturerbe",746.36339999999996
revenue,1997,31,"Kulturerbe",1320.3330000000001
revenue,1998,31,"Kulturerbe",1879.7865999999999
revenue,1999,31,"Kulturerbe",2428.4011
revenue,2000,31,"Kulturerbe",1808.2777000000001
revenue,2001,31,"Kulturerbe",1266.0617
revenue,2002,31,"Kulturerbe",1237.8792000000001
revenue,2003,31,"Kulturerbe",824.70764999999994
revenue,2004,31,"Kulturerbe",1287.5137500000001
revenue,2005,31,"Kulturerbe",1148.6105500000001
revenue,2006,31,"Kulturerbe",749.73446000000001
